factors,responses
0.0,"[-11.08483492462342, -7.976517395021712]"
0.2,"[-14.701160586470833, -13.177311940959044]"
0.4,"[-23.293019176576856, -11.573545660077286]"
0.6,"[-28.260329170592662, -16.751332773421414]"
0.8,"[-28.7532976777168, -21.7561274415003]"
1.0,"[-29.00012653251476, -22.22712413749345]"
1.2,"[-36.56852043136994, -23.85880941630804]"
1.4,"[-25.56612328304295, -20.821541993954582]"
1.6,"[-38.36732033164148, -17.345382624281235]"
1.8,"[-43.36602197029029, -33.982109838954294]"
2.0,"[-47.53712176822121, -32.31969317118447]"
2.2,"[-50.46069621055745, -33.710940755284504]"
2.4,"[-38.049315437512774, -31.76033164484373]"
2.6,"[-44.42688040004273, -36.36527483077531]"
2.8,"[-49.830236826651735, -39.33296600166556]"
3.0,"[-45.868280605725865, -40.91121791531876]"
3.2,"[-51.737515662925944, -42.57808600791389]"
3.4,"[-44.125114509113295, -34.50151872894881]"
3.6,"[-44.007297539304076, -42.00698418704475]"
3.8,"[-51.31049766307166, -41.9977798139356]"
4.0,"[-48.940261213118205, -36.16505130535293]"
4.2,"[-42.019814152152435, -38.11416726620691]"
4.4,"[-50.093989383649344, -37.80476173202977]"
4.6,"[-39.59393518956197, -37.68429561693841]"
4.8,"[-37.08943991841396, -35.7219739448212]"
5.0,"[-43.41021911909685, -33.21776252156381]"
5.2,"[-38.70342549725952, -26.632941068311553]"
5.4,"[-34.163848114917094, -24.027503459749926]"
5.6,"[-39.73981439036662, -23.248465819149573]"
5.8,"[-26.138656038820553, -20.349713480987567]"
6.0,"[-15.696342835791548, -11.112485015971714]"
6.2,"[-24.033689686115927, -9.849278943319236]"
6.4,"[-16.456703521958065, -14.036736592021706]"
6.6,"[-12.134501706348228, -9.743902873144155]"
6.8,"[-11.559990209562592, -3.8652802556701045]"
7.0,"[-6.275115884901943, -1.3114488055413285]"
7.2,"[0.5993655075755365, 2.2105110477587298]"
7.4,"[10.75418237365929, 16.249657681862445]"
7.6,"[7.955507723542165, 16.376013550071725]"
7.8,"[7.328891607938946, 21.354290990242532]"
8.0,"[21.507016053065115, 26.71200473204673]"
8.2,"[25.174743095511225, 30.277391867473938]"
8.4,"[30.330130131916007, 37.449251881687964]"
8.6,"[37.487271109650756, 48.5908887586687]"
8.8,"[44.77204301884856, 46.73632174516269]"
9.0,"[47.87103978454228, 55.31243379082534]"
9.2,"[57.53047499361767, 67.99697208026006]"
9.4,"[62.30857797910969, 67.44267579163568]"
9.6,"[70.4775582582834, 76.82419782225234]"
9.8,"[76.708997617588, 91.35222588229222]"
