factors,responses
5.0,"[8.985514894308775, 12.778111465604384]"
5.133,"[4.061546293240566, 11.85375898252449]"
5.267,"[5.412484613675154, 9.171126247006093]"
5.4,"[2.7278530273209896, 11.867746823820019]"
5.533,"[5.273613641796227, 9.778333194607212]"
5.667,"[2.2647362070816652, 16.395084880689677]"
5.8,"[-1.5112580295615574, 5.4979837527564035]"
5.933,"[1.8385616626049361, 10.516346142705657]"
6.067,"[1.8228515055810717, 6.90049825540124]"
6.2,"[-3.626655011101472, 5.469036219819751]"
6.333,"[-0.2583030313283723, 4.718589164333469]"
6.467,"[-1.5016900595602287, 1.501535994286661]"
6.6,"[-10.813755409741082, 8.919563091865088]"
6.733,"[-21.491469129722688, -0.7572922435588597]"
6.867,"[-2.915180639282444, 3.358547830610439]"
7.0,"[-5.803893939635701, -3.459950451972397]"
7.133,"[-6.2001016717676345, 0.442498980629221]"
7.267,"[-15.934130143363232, 2.8559442034848317]"
7.4,"[-19.321274952653045, -1.4907205599737674]"
7.533,"[-10.190046866856482, 3.8721224685457845]"
7.667,"[-11.777066112394767, -3.133599006770252]"
7.8,"[-12.255999849310218, -9.091078966806243]"
7.933,"[-15.001954002981767, -3.269575834632933]"
8.067,"[-15.838850701203214, -13.22747130121969]"
8.2,"[-22.158774900045056, -15.847145542443114]"
8.333,"[-19.511613522083174, -11.661868732761084]"
8.467,"[-20.726035589801313, -16.039598553577814]"
8.6,"[-23.63271500943362, -20.84224834628544]"
8.733,"[-24.731899204239614, -18.07624074846389]"
8.867,"[-25.22213162459968, -19.739025545752263]"
9.0,"[-31.02052703685218, -23.56184376302877]"
9.133,"[-34.722198346813876, -23.54625462255749]"
9.267,"[-36.192432867792334, -28.940398732165605]"
9.4,"[-33.38564208417878, -24.078739318540148]"
9.533,"[-38.255781608308, -25.319266982386594]"
9.667,"[-42.480192457091675, -29.798918586672027]"
9.8,"[-48.53925097880799, -36.6371839447862]"
9.933,"[-47.035438610955936, -35.560136961615974]"
10.067,"[-46.15012963356685, -39.98152109003936]"
10.2,"[-45.91449016788995, -42.80866105639879]"
10.333,"[-47.325975760959444, -43.00679596749753]"
10.467,"[-50.725718235941464, -45.37290243486327]"
10.6,"[-50.25403217474804, -46.49971446969681]"
10.733,"[-55.69252549619139, -45.465329012710065]"
10.867,"[-54.084186600353505, -53.19574921086542]"
11.0,"[-59.51864581474894, -47.493300658222836]"
11.133,"[-63.736772016113676, -55.23885502136588]"
11.267,"[-63.76956645811721, -55.1305801817463]"
11.4,"[-69.0113795773968, -60.06694846052134]"
11.533,"[-68.88721575013578, -62.60927276484333]"
11.667,"[-68.94640705182067, -66.0846974179231]"
11.8,"[-72.50182096761377, -68.48763907222548]"
11.933,"[-82.75006478074113, -62.04042521409602]"
12.067,"[-80.71963215521667, -74.1353712118426]"
12.2,"[-83.17542429790728, -77.12226426866259]"
12.333,"[-85.07125547736307, -71.42802425456628]"
12.467,"[-83.44097274375103, -79.98026106529751]"
12.6,"[-86.6274766392994, -82.64224861528626]"
12.733,"[-93.05435214086818, -86.79090232617183]"
12.867,"[-94.52209675697344, -88.36255231732582]"
13.0,"[-97.621408543939, -90.25461295010126]"
13.133,"[-109.06803300392357, -96.30565573226406]"
13.267,"[-99.77890072593871, -97.76316753387692]"
13.4,"[-103.28807621435382, -94.10008689648022]"
13.533,"[-112.11520511244603, -100.82458442280833]"
13.667,"[-112.01196355675059, -101.10991156080325]"
13.8,"[-115.46519253013115, -111.31748925892987]"
13.933,"[-119.32622039477255, -113.79863360824889]"
14.067,"[-118.54027477912128, -111.8287826002131]"
14.2,"[-120.87318600391245, -118.13165146088288]"
14.333,"[-133.71494101544852, -122.36718025695315]"
14.467,"[-129.20016609791364, -122.12091790936067]"
14.6,"[-134.9110621805953, -121.36186593098024]"
14.733,"[-134.08363994573003, -132.99588955241325]"
14.867,"[-140.29186338860725, -124.84074764249681]"
15.0,"[-141.3064699254731, -136.7997997150602]"
15.133,"[-144.22821590251246, -142.92746537062752]"
15.267,"[-147.87032816091084, -142.48212691344298]"
15.4,"[-155.37488321021138, -146.3385699234309]"
15.533,"[-159.61360652537323, -153.49738615072073]"
15.667,"[-161.62422409963423, -153.14084201907508]"
15.8,"[-162.02198703747507, -158.36209519304282]"
15.933,"[-170.86543358891558, -150.60357224535375]"
16.067,"[-174.17918781328146, -166.177193519308]"
16.2,"[-173.06572249885852, -169.6621884787859]"
16.333,"[-182.73550913206384, -168.80525556139668]"
16.467,"[-180.1334803241322, -178.6523128925008]"
16.6,"[-184.85288085667545, -179.19534331538907]"
16.733,"[-190.595384588343, -179.7098292018357]"
16.867,"[-197.4833849172361, -184.41162661039445]"
17.0,"[-195.86079572056644, -184.75699684371676]"
17.133,"[-199.81015775211563, -196.82386575953834]"
17.267,"[-206.1895920757107, -197.04229212532815]"
17.4,"[-209.30665181052964, -200.37920056247893]"
17.533,"[-210.36738777378125, -207.3657890485222]"
17.667,"[-216.23430186486524, -206.8049680490162]"
17.8,"[-219.84825891638206, -215.46447763613048]"
17.933,"[-222.0142892832758, -220.23002704988687]"
18.067,"[-226.90003049064333, -218.88374221978523]"
18.2,"[-237.19431414307124, -223.46234192518608]"
18.333,"[-239.93419332291953, -234.12491735104354]"
18.467,"[-240.22896176598817, -237.879368777853]"
18.6,"[-244.6566401666352, -242.4745374953446]"
18.733,"[-249.38622105230584, -243.41973297201156]"
18.867,"[-255.06270491255592, -245.55124437679106]"
19.0,"[-263.98722479379876, -255.9575253460547]"
19.133,"[-267.444425803052, -256.4877038554533]"
19.267,"[-265.12046240197685, -261.945587609556]"
19.4,"[-271.69286921284163, -264.25487863369284]"
19.533,"[-275.91841471865587, -267.9722181495368]"
19.667,"[-281.8297199621721, -278.2711092811968]"
19.8,"[-286.8528347945804, -282.6506585744948]"
19.933,"[-290.9720577277984, -279.1631499291547]"
20.067,"[-296.8950159089455, -290.21454500330094]"
20.2,"[-298.5097800543789, -295.33766260668773]"
20.333,"[-302.50656452623, -298.45034285059995]"
20.467,"[-314.4194275664866, -304.0718833745197]"
20.6,"[-313.9477278392314, -302.3766003727984]"
20.733,"[-319.76809154744245, -311.36437962580544]"
20.867,"[-326.1739815642898, -316.92179032924037]"
21.0,"[-327.7112250595991, -319.0726986668284]"
21.133,"[-333.80453514629056, -323.507728928509]"
21.267,"[-339.69356712027377, -334.0708594024749]"
21.4,"[-342.1916737561402, -330.92040987203586]"
21.533,"[-349.91135072957155, -345.6753440565917]"
21.667,"[-351.658822032005, -343.8769336377073]"
21.8,"[-361.8873419333942, -356.16138336356084]"
21.933,"[-363.0267346097187, -360.4116756039273]"
22.067,"[-374.7855103463529, -359.8483519008525]"
22.2,"[-373.6537007220671, -364.17974073860285]"
22.333,"[-382.4296805583188, -369.97115416184363]"
22.467,"[-392.26152318012066, -381.59190674284986]"
22.6,"[-390.33030355201277, -380.23206342506967]"
22.733,"[-404.98470562201317, -391.8920113792147]"
22.867,"[-399.8651631509935, -393.859074828766]"
23.0,"[-411.9776651823739, -395.8434999591629]"
23.133,"[-414.42531031295056, -409.0391641194495]"
23.267,"[-418.42310248811907, -409.574227205743]"
23.4,"[-427.4515798526437, -419.1944425478403]"
23.533,"[-434.4880410420795, -425.34027272101645]"
23.667,"[-433.97951660558357, -428.92861946056786]"
23.8,"[-438.49097036429924, -437.2269912416664]"
23.933,"[-446.0530715499062, -436.0321636888532]"
24.067,"[-453.6737348212779, -441.6951354892867]"
24.2,"[-457.1950621431409, -453.04667401580394]"
24.333,"[-463.98076302619097, -451.6158543350834]"
24.467,"[-466.5013992219017, -465.2102174249392]"
24.6,"[-478.94604658202513, -468.6029505234383]"
24.733,"[-480.3870547715262, -476.124027033896]"
24.867,"[-485.59645723667546, -477.30293202066986]"
